contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,Type
NVDA250221C00000500,2024-12-18 16:10:37+00:00,0.5,135.9,134.95,135.5,6.949997,5.3896837,802.0,38782.0,0.0,True,REGULAR,USD,Call
NVDA250221C00001000,2024-12-05 17:11:36+00:00,1.0,145.04,134.6,135.55,0.0,0.0,5.0,254.0,0.0,True,REGULAR,USD,Call
NVDA250221C00001500,2024-12-03 20:42:45+00:00,1.5,138.67,134.1,135.05,0.0,0.0,10.0,150.0,9.71875392578125,True,REGULAR,USD,Call
NVDA250221C00002000,2024-11-26 15:30:03+00:00,2.0,135.06,133.25,134.25,0.0,0.0,101.0,113.0,7.0312512109375005,True,REGULAR,USD,Call
NVDA250221C00002500,2024-06-17 04:01:33+00:00,2.5,84.46,,,0.0,0.0,,,0.0,True,REGULAR,USD,Call
NVDA250221C00003000,2024-12-16 15:39:10+00:00,3.0,129.42,132.55,133.6,0.0,0.0,46.0,196.0,6.558595551757813,True,REGULAR,USD,Call
NVDA250221C00003500,2024-06-17 04:02:12+00:00,3.5,84.0,,,0.0,0.0,,,0.0,True,REGULAR,USD,Call
NVDA250221C00004000,2024-12-04 20:05:35+00:00,4.0,141.56,131.45,132.45,0.0,0.0,1.0,4.0,5.57812802734375,True,REGULAR,USD,Call
NVDA250221C00004500,2024-09-06 16:54:09+00:00,4.5,97.59,120.05,121.35,0.0,0.0,2.0,2.0,1.0000000000000003e-05,True,REGULAR,USD,Call
NVDA250221C00005000,2024-12-17 15:20:42+00:00,5.0,122.36,130.75,131.65,0.0,0.0,39.0,382.0,5.394534506835937,True,REGULAR,USD,Call
NVDA250221C00010000,2024-04-05 18:33:25+00:00,10.0,869.42,873.45,885.05,0.0,0.0,4.0,18.0,0.0,True,REGULAR,USD,Call
NVDA250221C00015000,2024-04-05 17:00:15+00:00,15.0,869.93,868.7,879.55,0.0,0.0,4.0,5.0,0.0,True,REGULAR,USD,Call
NVDA250221C00020000,2024-12-16 16:11:41+00:00,20.0,111.8,115.8,116.8,0.0,0.0,10.0,294.0,2.8564481713867185,True,REGULAR,USD,Call
NVDA250221C00021000,2024-12-10 18:24:05+00:00,21.0,115.59,114.75,115.8,0.0,0.0,8.0,189.0,2.7685577661132816,True,REGULAR,USD,Call
NVDA250221C00022000,2024-12-16 20:57:32+00:00,22.0,110.33,113.65,114.65,0.0,0.0,4.0,191.0,2.6396518383789065,True,REGULAR,USD,Call
NVDA250221C00023000,2024-12-16 18:16:00+00:00,23.0,109.1,112.75,113.95,0.0,0.0,1.0,98.0,2.6611361596679695,True,REGULAR,USD,Call
NVDA250221C00024000,2024-12-16 15:16:40+00:00,24.0,107.55,111.9,112.95,0.0,0.0,5.0,50.0,2.625979997558594,True,REGULAR,USD,Call
NVDA250221C00025000,2024-12-02 15:34:04+00:00,25.0,114.65,110.95,111.95,0.0,0.0,1.0,72.0,2.572269194335937,True,REGULAR,USD,Call
NVDA250221C00026000,2024-12-16 19:42:36+00:00,26.0,106.94,109.8,110.8,0.0,0.0,11.0,91.0,2.454105427246094,True,REGULAR,USD,Call
NVDA250221C00027000,2024-12-18 14:36:15+00:00,27.0,106.94,108.7,109.8,2.2799988,2.1784816,10.0,112.0,2.377933742675781,True,REGULAR,USD,Call
NVDA250221C00028000,2024-12-16 19:32:05+00:00,28.0,104.57,107.7,108.8,0.0,0.0,16.0,140.0,2.3247112194824213,True,REGULAR,USD,Call
NVDA250221C00029000,2024-12-17 18:02:59+00:00,29.0,102.26,106.8,108.05,0.0,0.0,44.0,172.0,2.3369182202148426,True,REGULAR,USD,Call
NVDA250221C00030000,2024-12-17 17:48:42+00:00,30.0,101.8,106.0,106.85,0.0,0.0,2.0,1222.0,2.286137097167969,True,REGULAR,USD,Call
NVDA250221C00031000,2024-12-16 19:53:36+00:00,31.0,101.64,104.85,105.9,0.0,0.0,20.0,266.0,2.22021929321289,True,REGULAR,USD,Call
