contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,Type
SOUN250110C00001500,2024-12-05 16:53:20+00:00,1.5,11.89,12.2,15.2,11.89,,,1.0,5.23437845703125,True,REGULAR,USD,Call
SOUN250110C00002000,2024-12-06 16:06:53+00:00,2.0,12.9,11.45,14.2,12.9,,1.0,0.0,9.015629365234375,True,REGULAR,USD,Call
SOUN250110C00004000,2024-12-03 18:21:28+00:00,4.0,4.75,9.45,13.1,0.0,0.0,1.0,16.0,3.19531451171875,True,REGULAR,USD,Call
SOUN250110C00004500,2024-12-06 16:24:18+00:00,4.5,9.46,9.0,12.6,5.56,142.56409,1.0,1.0,2.9960962597656247,True,REGULAR,USD,Call
SOUN250110C00005000,2024-12-05 19:38:39+00:00,5.0,8.62,8.95,11.75,8.62,,,18.0,2.8750028125,True,REGULAR,USD,Call
SOUN250110C00005500,2024-12-06 14:45:21+00:00,5.5,8.4,7.95,11.65,0.29999924,3.703694,1.0,2.0,2.5390661523437497,True,REGULAR,USD,Call
SOUN250110C00006000,2024-12-06 16:21:47+00:00,6.0,8.21,7.9,10.25,0.7600002,10.201345,10.0,9.0,1.6875015625,True,REGULAR,USD,Call
SOUN250110C00006500,2024-12-05 18:17:10+00:00,6.5,6.4,7.35,8.75,0.0,0.0,3.0,15.0,2.0546923632812497,True,REGULAR,USD,Call
SOUN250110C00007000,2024-12-06 14:46:22+00:00,7.0,6.87,7.7,9.1,0.3699999,5.6923056,18.0,28.0,2.175785810546875,True,REGULAR,USD,Call
SOUN250110C00007500,2024-12-06 20:47:25+00:00,7.5,7.55,7.3,7.95,1.8000002,31.30435,11.0,23.0,1.46875265625,True,REGULAR,USD,Call
SOUN250110C00008000,2024-12-06 19:19:19+00:00,8.0,6.25,6.9,9.2,0.6500001,11.607144,16.0,55.0,2.6718783203125005,True,REGULAR,USD,Call
SOUN250110C00008500,2024-12-06 18:20:46+00:00,8.5,5.31,5.4,7.9,0.21000004,4.117648,11.0,111.0,1.2968785156249998,True,REGULAR,USD,Call
SOUN250110C00009000,2024-12-06 20:38:50+00:00,9.0,7.0,5.8,6.45,2.0500002,41.414146,84.0,188.0,1.1328168359375002,True,REGULAR,USD,Call
SOUN250110C00009500,2024-12-06 20:43:43+00:00,9.5,5.81,5.3,6.05,1.2599998,27.6923,2.0,191.0,1.12891060546875,True,REGULAR,USD,Call
SOUN250110C00010000,2024-12-06 20:59:07+00:00,10.0,5.45,5.15,6.25,1.25,29.761908,92.0,331.0,1.646486142578125,True,REGULAR,USD,Call
SOUN250110C00010500,2024-12-06 15:38:12+00:00,10.5,5.03,3.9,5.95,0.84000015,20.047737,13.0,236.0,1.2382850585937497,True,REGULAR,USD,Call
SOUN250110C00011000,2024-12-06 19:49:22+00:00,11.0,4.4,4.15,5.15,0.75,20.547945,28.0,161.0,1.3339877050781246,True,REGULAR,USD,Call
SOUN250110C00011500,2024-12-06 18:51:25+00:00,11.5,3.7,3.4,5.0,0.48000002,14.906833,17.0,82.0,1.2519568652343749,True,REGULAR,USD,Call
SOUN250110C00012000,2024-12-06 20:56:34+00:00,12.0,4.3,4.05,4.55,1.2000003,38.709686,96.0,99.0,1.572267763671875,True,REGULAR,USD,Call
SOUN250110C00012500,2024-12-06 19:52:26+00:00,12.5,3.5,2.62,4.05,3.5,,19.0,74.0,1.1054732226562503,True,REGULAR,USD,Call
SOUN250110C00013000,2024-12-06 20:18:22+00:00,13.0,3.5,3.2,3.9,0.6700001,23.674915,74.0,49.0,1.4501980615234376,True,REGULAR,USD,Call
SOUN250110C00013500,2024-12-06 20:58:28+00:00,13.5,3.42,3.15,3.8,3.42,,2886.0,2837.0,1.5664084179687499,True,REGULAR,USD,Call
SOUN250110C00014000,2024-12-06 20:50:54+00:00,14.0,3.17,3.05,3.6,0.8200002,34.893627,209.0,992.0,1.62109564453125,True,REGULAR,USD,Call
SOUN250110C00014500,2024-12-06 20:58:15+00:00,14.5,3.04,2.85,3.2,3.04,,98.0,33.0,1.5751974365234374,True,REGULAR,USD,Call
SOUN250110C00015000,2024-12-06 20:58:43+00:00,15.0,2.83,2.5,2.9,2.83,,486.0,393.0,1.509768076171875,True,REGULAR,USD,Call
SOUN250110C00016000,2024-12-06 20:46:27+00:00,16.0,2.52,2.35,2.62,2.52,,234.0,4.0,1.6035176074218749,False,REGULAR,USD,Call
SOUN250110C00017000,2024-12-06 20:45:02+00:00,17.0,2.27,1.72,2.35,2.27,,159.0,13.0,1.5380882470703123,False,REGULAR,USD,Call
SOUN250110C00018000,2024-12-06 20:56:33+00:00,18.0,2.02,1.26,2.16,2.02,,44.0,72.0,1.5166039794921873,False,REGULAR,USD,Call
SOUN250110C00019000,2024-12-06 20:26:12+00:00,19.0,1.69,1.16,2.5,1.69,,3.0,1.0,1.7265638671875,False,REGULAR,USD,Call
SOUN250110C00020000,2024-12-06 20:29:34+00:00,20.0,1.4,1.01,2.07,1.4,,109.0,223.0,1.6865250048828124,False,REGULAR,USD,Call
SOUN250110C00021000,2024-12-06 16:00:54+00:00,21.0,1.89,0.8,1.65,1.89,,1.0,,1.6123066259765624,False,REGULAR,USD,Call
SOUN250110C00022000,2024-12-06 16:21:47+00:00,22.0,1.21,0.8,1.81,1.21,,26.0,,1.765626171875,False,REGULAR,USD,Call
SOUN250110C00024000,2024-12-06 20:57:55+00:00,24.0,1.13,1.05,1.42,1.13,,6.0,,1.9062504687500001,False,REGULAR,USD,Call
SOUN250110C00026000,2024-12-06 15:44:51+00:00,26.0,1.0,0.3,1.48,1.0,,1.0,,1.8320320898437497,False,REGULAR,USD,Call
SOUN250110C00027000,2024-12-06 20:58:44+00:00,27.0,0.92,0.8,0.97,0.92,,9.0,,1.900391123046875,False,REGULAR,USD,Call
SOUN250110P00005000,2024-12-04 20:38:01+00:00,5.0,0.06,0.0,1.29,0.06,,,22.0,3.511719970703125,False,REGULAR,USD,Put
SOUN250110P00006000,2024-12-06 18:34:57+00:00,6.0,0.05,0.0,0.1,-0.15,-75.0,2.0,40.0,1.609376953125,False,REGULAR,USD,Put
SOUN250110P00006500,2024-12-05 19:44:35+00:00,6.5,0.05,0.02,0.5,0.0,0.0,8.0,63.0,2.1015672460937496,False,REGULAR,USD,Put
SOUN250110P00007000,2024-12-06 19:21:40+00:00,7.0,0.12,0.1,0.16,-0.06000001,-33.333336,167.0,152.0,1.640626796875,False,REGULAR,USD,Put
SOUN250110P00007500,2024-12-06 14:40:18+00:00,7.5,0.13,0.09,0.3,-0.02000001,-13.33334,5.0,153.0,1.6601579492187502,False,REGULAR,USD,Put
SOUN250110P00008000,2024-12-06 19:34:21+00:00,8.0,0.25,0.14,0.2,-0.06999999,-21.874998,17.0,202.0,1.48047134765625,False,REGULAR,USD,Put
SOUN250110P00008500,2024-12-06 18:43:34+00:00,8.5,0.32,0.18,0.26,-0.030000001,-8.571429,10.0,70.0,1.453127734375,False,REGULAR,USD,Put
SOUN250110P00009000,2024-12-06 20:58:57+00:00,9.0,0.32,0.32,0.39,-0.18,-36.0,2107.0,2140.0,1.5332054589843749,False,REGULAR,USD,Put
SOUN250110P00009500,2024-12-06 15:45:35+00:00,9.5,0.61,0.2,0.89,0.61,,5.0,32.0,1.6328143359374998,False,REGULAR,USD,Put
SOUN250110P00010000,2024-12-06 20:51:01+00:00,10.0,0.56,0.46,0.62,-0.24000001,-30.000002,72.0,923.0,1.4941431542968748,False,REGULAR,USD,Put
SOUN250110P00010500,2024-12-06 20:31:37+00:00,10.5,0.75,0.67,1.47,0.75,,64.0,185.0,1.8457038964843748,False,REGULAR,USD,Put
SOUN250110P00011000,2024-12-06 20:03:30+00:00,11.0,0.91,0.59,1.0,-0.31,-25.409836,293.0,671.0,1.46875265625,False,REGULAR,USD,Put
SOUN250110P00011500,2024-12-06 18:50:50+00:00,11.5,1.15,0.42,1.53,1.15,,28.0,7.0,1.48047134765625,False,REGULAR,USD,Put
SOUN250110P00012000,2024-12-06 19:54:11+00:00,12.0,1.42,1.12,1.73,-0.33000004,-18.857145,180.0,186.0,1.6679704101562502,False,REGULAR,USD,Put
SOUN250110P00012500,2024-12-06 20:30:20+00:00,12.5,1.53,1.07,1.76,1.53,,153.0,153.0,1.5136743066406249,False,REGULAR,USD,Put
SOUN250110P00013000,2024-12-06 20:03:05+00:00,13.0,1.79,1.6,2.13,-0.81999993,-31.417624,441.0,61.0,1.6591813916015625,False,REGULAR,USD,Put
SOUN250110P00013500,2024-12-06 20:58:28+00:00,13.5,1.92,1.75,2.19,1.92,,2826.0,2802.0,1.5703146484375,False,REGULAR,USD,Put
SOUN250110P00014000,2024-12-06 20:25:16+00:00,14.0,2.33,2.1,2.72,2.33,,25.0,1.0,1.677735986328125,False,REGULAR,USD,Put
SOUN250110P00014500,2024-12-06 19:44:25+00:00,14.5,2.55,2.31,2.76,2.55,,3.0,11.0,1.5869161279296873,False,REGULAR,USD,Put
SOUN250110P00015000,2024-12-06 19:38:41+00:00,15.0,2.9,2.82,3.45,2.9,,16.0,13.0,1.765626171875,False,REGULAR,USD,Put
