strike,premium,break_even,option_profit,option_percent_profit,stock_profit,stock_percent_profit
1.5,19.2,20.7,330.0,17.19,638.44,33.25
2.0,19.48,21.48,252.0,12.94,647.78,33.25
4.0,17.67,21.67,233.0,13.19,587.59,33.25
4.5,17.15,21.65,235.0,13.7,570.28,33.25
5.0,16.18,21.18,282.0,17.43,538.0,33.25
5.5,15.3,20.8,320.0,20.92,508.77,33.25
6.0,15.68,21.68,232.0,14.8,521.41,33.25
6.5,14.98,21.48,252.0,16.82,498.11,33.25
7.0,14.4,21.4,260.0,18.06,478.83,33.25
7.5,13.9,21.4,260.0,18.71,462.24,33.25
8.0,13.18,21.18,282.0,21.4,438.28,33.25
8.5,11.82,20.32,368.0,31.13,393.06,33.25
9.0,12.18,21.18,282.0,23.15,405.04,33.25
9.5,11.92,21.42,258.0,21.64,396.36,33.25
10.0,11.18,21.18,282.0,25.22,371.74,33.25
10.5,11.12,21.62,238.0,21.4,369.77,33.25
11.0,10.62,21.62,238.0,22.41,353.12,33.25
11.5,9.98,21.48,252.0,25.25,331.86,33.25
12.0,9.8,21.8,220.0,22.45,325.87,33.25
12.5,9.12,21.62,238.0,26.1,303.29,33.26
13.0,8.78,21.78,222.0,25.28,291.97,33.25
13.5,7.95,21.45,255.0,32.08,264.36,33.25
14.0,8.1,22.1,190.0,23.46,269.33,33.25
14.5,7.9,22.4,160.0,20.25,262.68,33.25
15.0,7.38,22.38,162.0,21.95,245.43,33.26
16.0,6.18,22.18,182.0,29.45,205.49,33.25
17.0,6.1,23.1,90.0,14.75,202.85,33.25
18.0,5.42,23.42,58.0,10.7,180.21,33.25
19.0,5.05,24.05,,,167.93,33.25
20.0,4.25,24.25,,,141.34,33.26
21.0,4.4,25.4,,,146.31,33.25
22.0,4.2,26.2,,,139.67,33.25
22.5,3.78,26.28,,,125.71,33.26
23.0,3.78,26.78,,,125.71,33.26
24.0,3.35,27.35,,,111.4,33.25
25.0,3.3,28.3,,,109.72,33.25
26.0,2.76,28.76,,,91.75,33.24
27.0,2.84,29.84,,,94.45,33.26
