Price,Daily Change (%)
Ticker,
Date,
2023-01-30,-1.9609884551499812
2023-02-03,-1.5889924793735077
2023-02-08,-1.678009171011119
2023-02-16,-1.779198600938292
2023-02-21,-2.5024432145246744
2023-02-24,-1.6863952439089114
2023-03-09,-2.052957762828267
2023-03-10,-1.7591622044585642
2023-03-22,-1.6032767401691905
2023-04-25,-1.977536596551721
2023-07-20,-2.052580861142228
2023-08-02,-2.173494215109273
2023-08-24,-1.8734784615455746
2023-09-15,-1.5633990228098638
2023-09-20,-1.52842254938379
2023-09-21,-1.820083525776428
2023-09-26,-1.565103968908521
2023-10-03,-1.8658258553729046
2023-10-18,-1.6215032442043031
2023-10-20,-1.534713783548236
2023-10-25,-2.425064995187376
2023-10-26,-1.759656099899698
2023-12-20,-1.5015396760213684
