Price,Daily Change (%)
Ticker,
Date,
2022-01-05,-3.3448068827544475
2022-01-13,-2.5123142542254673
2022-01-18,-2.5973956147712918
2022-01-21,-2.720779129382689
2022-01-25,-2.279587751406098
2022-02-03,-3.7366230703940073
2022-02-10,-2.1029860954935087
2022-02-11,-2.780905673548195
2022-02-17,-2.884222075150311
2022-02-23,-2.570928481414869
2022-03-07,-3.624010422385804
2022-03-11,-2.1793698646173865
2022-03-14,-2.044485651336314
2022-04-05,-2.259616428127298
2022-04-06,-2.2201199444210284
2022-04-11,-2.181022821548395
2022-04-14,-2.14393549626527
2022-04-21,-2.0695641619913663
2022-04-22,-2.5454971602217213
2022-04-26,-3.9532127663313155
2022-04-29,-4.171148368488565
2022-05-05,-4.9917230446450915
2022-05-09,-4.2933285043934895
2022-05-11,-3.181463527135442
2022-05-18,-4.725839355913896
2022-05-24,-2.3477503945948386
2022-06-03,-2.4695330174669516
2022-06-09,-2.7472419148148797
2022-06-10,-3.523930712446288
2022-06-13,-4.680671501819644
2022-06-16,-4.081851000349301
2022-06-28,-2.9763398261811846
2022-07-11,-2.257868253095774
2022-08-19,-2.0062730350480673
2022-08-22,-2.547373607288772
2022-08-26,-3.9366165036856526
2022-09-13,-5.159128348790409
2022-09-29,-2.842382603896354
2022-10-07,-3.8011145359464704
2022-10-14,-3.0778111883558834
2022-10-26,-2.0370339850394603
2022-11-02,-3.361076663591045
2022-11-09,-2.4776310600627016
2022-12-06,-2.002241761491763
2022-12-15,-3.225878925859804
2022-12-22,-2.177999242230466
