contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,Type
TSLA250124C00075000,2024-12-13 15:37:25+00:00,75.0,355.51,385.5,389.95,0.0,0.0,,0,2.712893842773437,True,REGULAR,USD,Call
TSLA250124C00080000,2024-12-18 14:40:46+00:00,80.0,385.4,380.55,385.05,0.0,0.0,,0,2.669925200195313,True,REGULAR,USD,Call
TSLA250124C00085000,2024-12-16 19:27:32+00:00,85.0,374.17,376.4,380.05,0.0,0.0,,0,2.8017608081054686,True,REGULAR,USD,Call
TSLA250124C00090000,2024-12-19 20:25:31+00:00,90.0,349.85,370.55,375.05,0.0,0.0,,2,2.491214709472656,True,REGULAR,USD,Call
TSLA250124C00110000,2024-12-18 20:04:57+00:00,110.0,338.0,350.7,355.2,0.0,0.0,,1,2.2666058959960935,True,REGULAR,USD,Call
TSLA250124C00115000,2024-12-20 20:46:24+00:00,115.0,317.85,345.7,350.2,0.0,0.0,1.0,2,2.1992232519531245,True,REGULAR,USD,Call
TSLA250124C00120000,2024-12-18 20:04:57+00:00,120.0,328.0,340.8,345.3,0.0,0.0,,0,2.175785810546875,True,REGULAR,USD,Call
TSLA250124C00125000,2024-12-19 16:40:18+00:00,125.0,314.56,336.65,340.3,0.0,0.0,,0,2.2558637353515625,True,REGULAR,USD,Call
TSLA250124C00130000,2024-12-09 15:59:03+00:00,130.0,254.61,330.8,335.3,0.0,0.0,,0,2.0517626831054683,True,REGULAR,USD,Call
TSLA250124C00140000,2024-12-23 16:30:03+00:00,140.0,292.83,320.95,325.45,0.0,0.0,1.0,0,1.9882813085937499,True,REGULAR,USD,Call
TSLA250124C00145000,2024-12-19 15:07:58+00:00,145.0,300.52,315.05,319.85,0.0,0.0,,5,1.5585959570312498,True,REGULAR,USD,Call
TSLA250124C00150000,2024-12-13 18:44:23+00:00,150.0,282.43,311.85,315.6,0.0,0.0,,6,2.0170948010253906,True,REGULAR,USD,Call
TSLA250124C00155000,2024-12-19 15:16:49+00:00,155.0,293.5,306.05,310.2,0.0,0.0,6.0,7,1.8046884765624998,True,REGULAR,USD,Call
TSLA250124C00170000,2024-12-13 20:05:14+00:00,170.0,263.74,291.15,295.35,0.0,0.0,,0,1.6962905810546878,True,REGULAR,USD,Call
TSLA250124C00175000,2024-12-20 19:43:56+00:00,175.0,265.82,287.05,290.4,0.0,0.0,1.0,1,1.7587902685546877,True,REGULAR,USD,Call
TSLA250124C00180000,2024-12-23 14:36:01+00:00,180.0,251.19,282.1,285.45,0.0,0.0,8.0,9,1.7216810791015624,True,REGULAR,USD,Call
TSLA250124C00190000,2024-12-17 15:11:25+00:00,190.0,292.01,272.2,275.8,0.0,0.0,24.0,3,1.6709000830078127,True,REGULAR,USD,Call
TSLA250124C00195000,2024-12-18 17:46:51+00:00,195.0,284.14,266.35,270.55,0.0,0.0,1.0,4,1.5244164404296874,True,REGULAR,USD,Call
TSLA250124C00200000,2024-12-20 20:59:23+00:00,200.0,223.29,262.3,265.6,0.0,0.0,1.0,16,1.5749532971191407,True,REGULAR,USD,Call
TSLA250124C00205000,2024-12-23 19:01:09+00:00,205.0,229.8,257.6,260.45,0.0,0.0,2.0,8,1.5449241503906248,True,REGULAR,USD,Call
TSLA250124C00210000,2024-12-23 15:36:00+00:00,210.0,217.83,251.65,255.7,0.0,0.0,1.0,7,1.4462918310546877,True,REGULAR,USD,Call
TSLA250124C00215000,2024-12-23 19:05:06+00:00,215.0,219.46,247.4,250.75,0.0,0.0,1.0,0,1.470705771484375,True,REGULAR,USD,Call
TSLA250124C00220000,2024-12-24 17:55:44+00:00,220.0,241.8,241.6,245.8,27.300003,12.727274,1.0,11,1.3732941491699218,True,REGULAR,USD,Call
TSLA250124C00225000,2024-12-20 19:51:16+00:00,225.0,217.66,237.5,240.85,0.0,0.0,4.0,13,1.40625296875,True,REGULAR,USD,Call
TSLA250124C00230000,2024-12-24 16:40:23+00:00,230.0,223.07,231.9,236.2,19.720001,9.697566,3.0,22,1.351077463378906,True,REGULAR,USD,Call
TSLA250124C00235000,2024-12-16 17:28:57+00:00,235.0,224.23,226.75,230.95,0.0,0.0,12.0,13,1.2861363818359375,True,REGULAR,USD,Call
TSLA250124C00240000,2024-12-23 14:36:01+00:00,240.0,192.09,221.8,226.3,0.0,0.0,8.0,45,1.2780797814941405,True,REGULAR,USD,Call
TSLA250124C00245000,2024-12-19 16:14:18+00:00,245.0,193.64,217.75,221.35,0.0,0.0,4.0,0,1.3027378613281246,True,REGULAR,USD,Call
TSLA250124C00250000,2024-12-23 17:46:45+00:00,250.0,184.02,211.95,216.45,0.0,0.0,1.0,13,1.226322227783203,True,REGULAR,USD,Call
