strike,premium,break_even,option_profit,option_percent_profit,stock_profit,stock_percent_profit
75.0,387.72,462.72,,,-1029.92,-2.66
80.0,382.8,462.8,,,-1016.91,-2.66
85.0,378.22,463.22,,,-1004.75,-2.66
90.0,372.8,462.8,,,-990.26,-2.66
110.0,352.95,462.95,,,-937.58,-2.66
115.0,347.95,462.95,,,-924.32,-2.66
120.0,343.05,463.05,,,-911.3,-2.66
125.0,338.48,463.48,,,-899.14,-2.66
130.0,333.05,463.05,,,-884.77,-2.66
140.0,323.2,463.2,,,-858.49,-2.66
145.0,317.45,462.45,,,-843.27,-2.66
150.0,313.73,463.73,,,-833.44,-2.66
155.0,308.12,463.12,,,-818.46,-2.66
170.0,293.25,463.25,,,-779.04,-2.66
175.0,288.73,463.73,,,-767.01,-2.66
180.0,283.77,463.77,,,-753.75,-2.66
190.0,274.0,464.0,,,-727.84,-2.66
195.0,268.45,463.45,,,-713.1,-2.66
200.0,263.95,463.95,,,-701.19,-2.66
205.0,259.02,464.02,,,-688.05,-2.66
210.0,253.68,463.68,,,-673.93,-2.66
215.0,249.08,464.08,,,-661.65,-2.66
220.0,243.7,463.7,,,-647.4,-2.66
225.0,239.18,464.18,,,-635.37,-2.66
230.0,234.05,464.05,,,-621.74,-2.66
235.0,228.85,463.85,,,-607.86,-2.66
240.0,224.05,464.05,,,-595.21,-2.66
245.0,219.55,464.55,,,-583.18,-2.66
250.0,214.2,464.2,,,-569.06,-2.66
255.0,209.3,464.3,,,-556.04,-2.66
260.0,202.75,462.75,,,-538.6,-2.66
265.0,199.4,464.4,,,-529.64,-2.66
270.0,194.42,464.42,,,-516.5,-2.66
275.0,189.1,464.1,,,-502.37,-2.66
280.0,185.18,465.18,,,-491.94,-2.66
285.0,179.7,464.7,,,-477.32,-2.66
290.0,175.25,465.25,,,-465.53,-2.66
295.0,169.72,464.72,,,-450.8,-2.66
300.0,164.45,464.45,,,-436.8,-2.66
305.0,158.07,463.07,,,-419.85,-2.66
310.0,155.9,465.9,,,-414.08,-2.66
315.0,150.45,465.45,,,-399.71,-2.66
320.0,145.65,465.65,,,-386.94,-2.66
325.0,140.98,465.98,,,-374.54,-2.66
330.0,136.15,466.15,,,-361.65,-2.66
335.0,131.8,466.8,,,-350.1,-2.66
340.0,126.65,466.65,,,-336.47,-2.66
345.0,122.35,467.35,,,-325.05,-2.66
350.0,118.0,468.0,,,-313.51,-2.66
355.0,112.75,467.75,,,-299.51,-2.66
360.0,108.4,468.4,,,-287.97,-2.66
365.0,103.9,468.9,,,-276.05,-2.66
370.0,99.6,469.6,,,-264.63,-2.66
375.0,95.28,470.28,,,-253.09,-2.66
380.0,91.0,471.0,,,-241.79,-2.66
385.0,86.68,471.68,,,-230.25,-2.66
390.0,82.45,472.45,,,-219.08,-2.66
395.0,78.53,473.53,,,-208.64,-2.66
400.0,74.35,474.35,,,-197.46,-2.66
405.0,71.05,476.05,,,-188.74,-2.66
410.0,67.03,477.03,,,-178.06,-2.66
415.0,63.5,478.5,,,-168.73,-2.66
420.0,60.3,480.3,,,-160.13,-2.66
425.0,56.8,481.8,,,-150.92,-2.66
430.0,53.72,483.72,,,-142.69,-2.66
435.0,51.3,486.3,,,-136.31,-2.66
440.0,47.85,487.85,,,-127.1,-2.66
445.0,45.08,490.08,,,-119.73,-2.66
450.0,41.53,491.53,,,-110.27,-2.66
455.0,39.92,494.92,,,-106.1,-2.66
460.0,37.5,497.5,,,-99.59,-2.66
465.0,35.15,500.15,,,-93.33,-2.66
470.0,33.0,503.0,,,-87.68,-2.66
475.0,31.0,506.0,,,-82.4,-2.66
480.0,29.02,509.02,,,-77.12,-2.66
485.0,27.22,512.22,,,-72.33,-2.66
490.0,25.48,515.48,,,-67.66,-2.66
495.0,23.88,518.88,,,-63.49,-2.66
500.0,22.35,522.35,,,-59.31,-2.65
505.0,21.35,526.35,,,-56.73,-2.66
510.0,19.52,529.52,,,-51.82,-2.65
515.0,18.73,533.73,,,-49.73,-2.66
520.0,17.05,537.05,,,-45.31,-2.66
525.0,15.98,540.98,,,-42.49,-2.66
530.0,14.92,544.92,,,-39.66,-2.66
535.0,13.9,548.9,,,-36.96,-2.66
540.0,13.0,553.0,,,-34.51,-2.65
545.0,12.15,557.15,,,-32.3,-2.66
550.0,11.3,561.3,,,-29.96,-2.65
560.0,9.95,569.95,,,-26.4,-2.65
570.0,8.38,578.38,,,-22.23,-2.65
580.0,7.75,587.75,,,-20.63,-2.66
590.0,6.68,596.68,,,-17.81,-2.67
600.0,5.88,605.88,,,-15.6,-2.65
610.0,5.05,615.05,,,-13.39,-2.65
620.0,4.53,624.53,,,-12.03,-2.66
630.0,4.0,634.0,,,-10.68,-2.67
640.0,3.55,643.55,,,-9.46,-2.66
650.0,3.2,653.2,,,-8.47,-2.65
660.0,2.82,662.82,,,-7.49,-2.66
670.0,2.52,672.52,,,-6.75,-2.68
680.0,2.35,682.35,,,-6.26,-2.66
690.0,2.02,692.02,,,-5.4,-2.67
700.0,1.82,701.82,,,-4.79,-2.63
710.0,1.79,711.79,,,-4.79,-2.68
720.0,1.5,721.5,,,-3.93,-2.62
730.0,1.36,731.36,,,-3.56,-2.62
740.0,1.24,741.24,,,-3.32,-2.68
750.0,1.14,751.14,,,-3.07,-2.69
760.0,1.04,761.04,,,-2.7,-2.6
770.0,0.96,770.96,,,-2.58,-2.69
780.0,0.86,780.86,,,-2.33,-2.71
790.0,0.82,790.82,,,-2.21,-2.7
800.0,0.72,800.72,,,-1.96,-2.72
810.0,0.68,810.68,,,-1.84,-2.71
820.0,0.6,820.6,,,-1.6,-2.67
830.0,0.51,830.51,,,-1.35,-2.65
840.0,0.54,840.54,,,-1.47,-2.72
850.0,0.5,850.5,,,-1.35,-2.7
860.0,0.52,860.52,,,-1.35,-2.6
870.0,0.44,870.44,,,-1.23,-2.8
880.0,0.38,880.38,,,-0.98,-2.58
890.0,0.38,890.38,,,-0.98,-2.58
900.0,0.33,900.33,,,-0.86,-2.61
910.0,0.29,910.29,,,-0.74,-2.55
920.0,0.28,920.28,,,-0.74,-2.64
930.0,0.26,930.26,,,-0.74,-2.85
940.0,0.26,940.26,,,-0.74,-2.85
950.0,0.22,950.22,,,-0.61,-2.77
960.0,0.22,960.22,,,-0.61,-2.77
